Accident_ID,Date_Time,Location,Severity,Weather_Condition,Road_Condition,Vehicle_Type,Driver_Age,Casualties_Count,Cause_of_Accident
1,8/20/2024 6:25,Bangalore,Moderate,Rainy,Icy,Car,50,2,Weather
2,10/7/2024 13:11,Hyderabad,Severe,Clear,Icy,Bicycle,25,1,Bad Road Condition
3,4/9/2024 0:11,Kolkata,Minor,Clear,Under Construction,Truck,59,1,Speeding
4,6/18/2023 23:50,Mumbai,Minor,Windy,Icy,Auto Rickshaw,64,1,Bad Road Condition
5,4/7/2024 9:34,Kolkata,Moderate,Windy,Wet,Bike,45,3,Red Light Violation
6,5/25/2024 4:50,Ahmedabad,Moderate,Clear,Icy,Truck,20,2,Bad Road Condition
7,7/16/2023 3:48,Ahmedabad,Moderate,Rainy,Icy,Auto Rickshaw,40,0,Weather
8,9/1/2024 21:15,Hyderabad,Minor,Foggy,Potholes,Car,40,5,Drunk Driving
9,11/11/2023 1:31,Hyderabad,Severe,Clear,Wet,Auto Rickshaw,47,2,Weather
10,9/20/2024 12:42,Bangalore,Moderate,Snowy,Dry,Bike,20,5,Brake Failure
11,9/29/2024 11:11,Delhi,Severe,Rainy,Potholes,Bus,59,4,Bad Road Condition
12,3/14/2023 10:07,Mumbai,Minor,Rainy,Dry,Bus,46,0,Weather
13,1/26/2023 2:24,Mumbai,Severe,Clear,Icy,Bicycle,31,3,Speeding
14,8/18/2024 14:29,Chennai,Minor,Clear,Potholes,Car,37,1,Weather
15,4/10/2023 20:39,Bangalore,Moderate,Clear,Under Construction,Auto Rickshaw,61,5,Red Light Violation
16,4/29/2023 19:59,Delhi,Moderate,Clear,Icy,Bike,26,1,Bad Road Condition
17,7/5/2024 4:20,Pune,Moderate,Rainy,Wet,Truck,21,3,Brake Failure
18,9/22/2023 17:52,Bangalore,Minor,Rainy,Wet,Bike,49,2,Red Light Violation
19,1/19/2023 16:15,Chennai,Minor,Foggy,Dry,Auto Rickshaw,54,2,Red Light Violation
20,9/4/2024 13:43,Mumbai,Minor,Foggy,Icy,Auto Rickshaw,59,0,Red Light Violation
21,12/27/2023 12:17,Kolkata,Severe,Windy,Under Construction,Truck,50,0,Weather
22,1/8/2023 10:53,Delhi,Moderate,Windy,Under Construction,Auto Rickshaw,49,1,Speeding
23,5/3/2024 17:51,Pune,Minor,Rainy,Potholes,Bus,58,0,Bad Road Condition
24,6/15/2023 4:44,Delhi,Minor,Snowy,Icy,Truck,40,3,Speeding
25,6/8/2024 16:17,Mumbai,Moderate,Snowy,Wet,Bicycle,59,4,Bad Road Condition
26,9/30/2023 6:08,Hyderabad,Severe,Rainy,Dry,Bus,26,1,Speeding
27,1/5/2024 7:28,Bangalore,Minor,Clear,Under Construction,Truck,57,1,Weather
28,8/27/2023 23:19,Pune,Minor,Snowy,Icy,Bicycle,47,4,Speeding
29,10/31/2023 11:36,Hyderabad,Moderate,Clear,Under Construction,Bicycle,58,5,Overtaking
30,10/16/2023 8:11,Mumbai,Moderate,Snowy,Icy,Bike,50,2,Red Light Violation
31,4/8/2023 6:58,Bangalore,Moderate,Foggy,Dry,Truck,44,5,Brake Failure
32,12/30/2023 2:09,Ahmedabad,Severe,Foggy,Wet,Bus,29,4,Red Light Violation
33,3/3/2023 15:26,Kolkata,Severe,Clear,Potholes,Bicycle,34,5,Overtaking
34,7/25/2023 21:37,Chennai,Minor,Rainy,Under Construction,Bus,32,4,Speeding
35,2/19/2023 3:36,Ahmedabad,Minor,Rainy,Dry,Bus,53,2,Bad Road Condition
36,6/14/2023 22:07,Hyderabad,Minor,Rainy,Icy,Bike,62,4,Overtaking
37,12/22/2024 11:28,Mumbai,Minor,Rainy,Potholes,Bike,44,1,Weather
38,2/4/2023 13:13,Hyderabad,Minor,Rainy,Wet,Truck,41,0,Drunk Driving
39,9/28/2023 21:01,Hyderabad,Minor,Rainy,Icy,Bike,21,3,Drunk Driving
40,12/2/2024 6:31,Ahmedabad,Minor,Snowy,Under Construction,Bicycle,39,5,Weather
41,11/18/2024 8:15,Kolkata,Minor,Rainy,Under Construction,Car,35,5,Overtaking
42,12/5/2023 15:08,Mumbai,Moderate,Windy,Under Construction,Bike,51,1,Red Light Violation
43,11/16/2023 6:53,Delhi,Severe,Snowy,Under Construction,Truck,34,4,Bad Road Condition
44,8/10/2024 21:59,Hyderabad,Minor,Snowy,Dry,Bike,52,2,Speeding
45,5/25/2024 11:19,Mumbai,Minor,Windy,Potholes,Truck,33,0,Bad Road Condition
46,5/28/2023 5:39,Bangalore,Severe,Snowy,Icy,Car,31,0,Drunk Driving
47,9/13/2024 13:54,Delhi,Severe,Foggy,Dry,Bus,65,3,Red Light Violation
48,2/11/2023 11:19,Pune,Minor,Rainy,Under Construction,Auto Rickshaw,43,4,Bad Road Condition
49,5/8/2023 7:47,Ahmedabad,Minor,Rainy,Wet,Bicycle,20,3,Brake Failure
50,1/18/2023 21:54,Chennai,Moderate,Foggy,Dry,Bike,59,2,Drunk Driving
51,2/24/2023 11:42,Hyderabad,Moderate,Rainy,Icy,Car,37,1,Weather
52,6/16/2023 11:27,Kolkata,Minor,Rainy,Wet,Auto Rickshaw,32,5,Drunk Driving
53,10/30/2023 1:24,Ahmedabad,Severe,Snowy,Wet,Auto Rickshaw,64,3,Overtaking
54,3/14/2024 18:14,Kolkata,Severe,Rainy,Dry,Truck,61,2,Weather
55,10/8/2024 15:13,Bangalore,Severe,Snowy,Dry,Auto Rickshaw,26,0,Speeding
56,7/19/2023 19:48,Ahmedabad,Minor,Foggy,Under Construction,Bicycle,33,0,Speeding
57,8/24/2024 9:59,Ahmedabad,Moderate,Snowy,Icy,Truck,32,1,Overtaking
58,11/4/2023 9:21,Pune,Moderate,Snowy,Under Construction,Bike,26,0,Overtaking
59,2/17/2023 14:11,Kolkata,Moderate,Clear,Wet,Truck,64,0,Bad Road Condition
60,8/4/2024 10:44,Chennai,Minor,Windy,Icy,Bus,29,4,Overtaking
61,4/3/2023 10:16,Bangalore,Moderate,Clear,Wet,Car,42,5,Weather
62,6/27/2023 15:03,Hyderabad,Severe,Snowy,Icy,Car,32,5,Bad Road Condition
63,10/7/2023 3:17,Mumbai,Minor,Windy,Dry,Truck,34,3,Overtaking
64,7/21/2024 12:12,Bangalore,Moderate,Windy,Potholes,Bike,30,1,Weather
65,8/9/2023 17:57,Kolkata,Moderate,Windy,Under Construction,Bus,24,1,Speeding
66,3/15/2023 1:01,Kolkata,Minor,Rainy,Icy,Bus,33,5,Speeding
67,1/5/2023 0:40,Chennai,Moderate,Windy,Icy,Auto Rickshaw,37,3,Drunk Driving
68,7/10/2024 0:38,Chennai,Minor,Snowy,Dry,Bike,38,4,Red Light Violation
69,7/29/2024 22:53,Hyderabad,Minor,Windy,Potholes,Car,21,3,Overtaking
70,1/14/2023 4:59,Pune,Minor,Rainy,Icy,Bike,37,1,Overtaking
71,9/8/2023 7:29,Ahmedabad,Severe,Clear,Icy,Bus,32,4,Drunk Driving
72,4/12/2024 9:35,Delhi,Minor,Foggy,Potholes,Bus,24,4,Speeding
73,9/22/2024 20:08,Kolkata,Moderate,Clear,Dry,Auto Rickshaw,35,2,Bad Road Condition
74,8/7/2024 2:59,Kolkata,Minor,Foggy,Under Construction,Truck,49,5,Brake Failure
75,4/8/2024 23:28,Chennai,Severe,Snowy,Potholes,Bike,25,4,Speeding
76,10/24/2024 5:41,Hyderabad,Moderate,Clear,Icy,Car,62,5,Bad Road Condition
77,11/6/2024 14:43,Bangalore,Moderate,Rainy,Icy,Auto Rickshaw,56,5,Drunk Driving
78,1/24/2024 10:23,Bangalore,Moderate,Rainy,Wet,Bicycle,24,1,Brake Failure
79,2/28/2024 21:45,Bangalore,Severe,Clear,Potholes,Bike,64,0,Brake Failure
80,11/24/2024 9:00,Chennai,Moderate,Snowy,Wet,Car,38,3,Overtaking
81,5/13/2024 3:55,Kolkata,Minor,Rainy,Icy,Bicycle,24,2,Red Light Violation
82,11/13/2023 14:38,Pune,Severe,Windy,Icy,Bike,61,5,Red Light Violation
83,12/23/2024 8:16,Hyderabad,Severe,Foggy,Icy,Car,48,3,Speeding
84,3/11/2023 2:05,Pune,Moderate,Clear,Under Construction,Car,31,4,Speeding
85,8/21/2024 15:10,Ahmedabad,Moderate,Windy,Dry,Truck,41,4,Overtaking
86,2/28/2023 21:51,Kolkata,Severe,Clear,Under Construction,Car,62,0,Drunk Driving
87,3/2/2023 22:07,Mumbai,Moderate,Windy,Wet,Auto Rickshaw,44,0,Red Light Violation
88,8/11/2024 3:51,Mumbai,Severe,Snowy,Wet,Bus,39,1,Brake Failure
89,3/23/2023 8:43,Chennai,Moderate,Foggy,Dry,Bus,32,2,Speeding
